user_id,gender,country,interests,ctr,saves,positive_topic,negative_topic
0,0,2,"[13, 72, 67, 75, 2, 52, 95]",0.058,55,2,25
0,0,2,"[13, 72, 67, 75, 2, 52, 95]",0.058,55,52,93
0,0,2,"[13, 72, 67, 75, 2, 52, 95]",0.058,55,75,12
0,0,2,"[13, 72, 67, 75, 2, 52, 95]",0.058,55,72,70
0,0,2,"[13, 72, 67, 75, 2, 52, 95]",0.058,55,13,21
1,1,0,"[33, 0, 45, 38, 53, 19, 69, 25, 6, 91]",0.454,45,19,84
1,1,0,"[33, 0, 45, 38, 53, 19, 69, 25, 6, 91]",0.454,45,38,50
1,1,0,"[33, 0, 45, 38, 53, 19, 69, 25, 6, 91]",0.454,45,6,76
1,1,0,"[33, 0, 45, 38, 53, 19, 69, 25, 6, 91]",0.454,45,69,75
1,1,0,"[33, 0, 45, 38, 53, 19, 69, 25, 6, 91]",0.454,45,53,51
2,1,3,"[84, 81]",0.392,49,81,96
2,1,3,"[84, 81]",0.392,49,84,48
3,1,4,"[3, 38, 81, 13, 4, 47, 98, 35, 1]",0.196,88,81,18
3,1,4,"[3, 38, 81, 13, 4, 47, 98, 35, 1]",0.196,88,3,40
3,1,4,"[3, 38, 81, 13, 4, 47, 98, 35, 1]",0.196,88,47,49
3,1,4,"[3, 38, 81, 13, 4, 47, 98, 35, 1]",0.196,88,1,10
3,1,4,"[3, 38, 81, 13, 4, 47, 98, 35, 1]",0.196,88,13,14
4,0,0,"[48, 63, 3]",0.333,76,63,52
4,0,0,"[48, 63, 3]",0.333,76,48,24
4,0,0,"[48, 63, 3]",0.333,76,3,2
5,0,0,"[68, 99, 35, 46, 42, 84, 50]",0.427,33,46,18
5,0,0,"[68, 99, 35, 46, 42, 84, 50]",0.427,33,84,4
5,0,0,"[68, 99, 35, 46, 42, 84, 50]",0.427,33,50,7
5,0,0,"[68, 99, 35, 46, 42, 84, 50]",0.427,33,99,81
5,0,0,"[68, 99, 35, 46, 42, 84, 50]",0.427,33,42,8
6,1,3,"[74, 57, 77, 44, 22]",0.239,16,57,41
6,1,3,"[74, 57, 77, 44, 22]",0.239,16,22,1
6,1,3,"[74, 57, 77, 44, 22]",0.239,16,44,62
6,1,3,"[74, 57, 77, 44, 22]",0.239,16,77,48
6,1,3,"[74, 57, 77, 44, 22]",0.239,16,74,66
7,1,1,"[72, 46, 34, 29, 70]",0.08,77,46,86
7,1,1,"[72, 46, 34, 29, 70]",0.08,77,29,11
7,1,1,"[72, 46, 34, 29, 70]",0.08,77,70,37
7,1,1,"[72, 46, 34, 29, 70]",0.08,77,34,75
7,1,1,"[72, 46, 34, 29, 70]",0.08,77,72,32
8,0,0,"[70, 21, 5, 40]",0.437,47,5,75
8,0,0,"[70, 21, 5, 40]",0.437,47,70,33
8,0,0,"[70, 21, 5, 40]",0.437,47,40,38
8,0,0,"[70, 21, 5, 40]",0.437,47,21,10
9,0,2,"[33, 32]",0.372,71,32,15
9,0,2,"[33, 32]",0.372,71,33,59
10,0,4,"[76, 85, 55, 89, 75, 16, 42, 12]",0.426,50,55,33
10,0,4,"[76, 85, 55, 89, 75, 16, 42, 12]",0.426,50,75,71
10,0,4,"[76, 85, 55, 89, 75, 16, 42, 12]",0.426,50,89,70
10,0,4,"[76, 85, 55, 89, 75, 16, 42, 12]",0.426,50,42,50
10,0,4,"[76, 85, 55, 89, 75, 16, 42, 12]",0.426,50,16,78
11,1,3,"[19, 24, 78, 48, 86]",0.27,98,24,65
11,1,3,"[19, 24, 78, 48, 86]",0.27,98,78,27
11,1,3,"[19, 24, 78, 48, 86]",0.27,98,86,72
